,ID,phi,t,f,P,mw,w10m,v,r,rf
0,1621,125.4,-24,1.76E-05,980,55,1.57,0,475.92549,0.93
1,1621,125,-21,1.78E-05,975,60,1.96,15.42472776,430.5491144,1.56
2,1621,124.6,-18,1.80E-05,970,65,3.2,15.41582713,385.5094966,2.31
3,1621,124.25,-15,1.82E-05,962.5,72.5,3.81,14.58853925,345.9220533,4.29
4,1621,123.9,-12,1.85E-05,955,80,3.57,14.57871292,307.6179312,3.39
5,1621,123.45,-9,1.87E-05,952.5,82.5,3.88,17.7515394,260.4203357,9.12
6,1621,123,-6,1.89E-05,950,85,4.86,17.73784547,216.2692539,8.22
7,1621,122.4,-3,1.94E-05,942.5,90,5.17,25.0624051,170.8396245,24.75
8,1621,121.8,0,1.98E-05,935,95,6.03,25.03111906,151.760631,43.26
9,1621,120.8,3,2.00E-05,950,85,7.5,36.42823657,152.7682108,46.89
10,1621,119.8,6,2.03E-05,965,75,9.55,36.39307583,217.9651642,57.33
11,1621,119.1,9,2.05E-05,965,72.5,8.63,25.99289279,284.7416278,28.95
12,1621,118.4,12,2.08E-05,965,70,6.48,25.9682213,355.9209761,6.39
13,1621,117.8,15,2.09E-05,967.5,67.5,4.85,21.64333885,414.365289,5.28
14,1621,117.2,18,2.10E-05,970,65,4.47,21.63230709,474.4006262,8.82
15,1621,116.35,21,2.10E-05,970,65,2.87,30.19435705,554.4996978,10.44
16,1621,115.5,24,2.10E-05,970,65,2.15,30.19435705,637.4123163,8.01
17,1501,125.2,-24,1.56E-05,990,45,5.85,0,515.9254543,0.24
18,1501,124.75,-21,1.58E-05,991,42.5,5.3,17.21738767,464.9275356,0.42
19,1501,124.3,-18,1.60E-05,992,40,4.85,17.2083496,414.1999509,0.27
20,1501,123.95,-15,1.65E-05,994,37.5,5.28,19.46556688,358.6533887,0.27
21,1501,123.6,-12,1.70E-05,996,35,5.93,19.4521376,304.415445,6.06
22,1501,123.25,-9,1.72E-05,996,35,6.09,14.6265477,260.5796564,6.45
23,1501,122.9,-6,1.75E-05,996,35,6.24,14.61724055,216.9000879,9.66
24,1501,122.75,-3,1.80E-05,998,35,5.51,17.49702299,186.8800974,25.68
25,1501,122.6,0,1.86E-05,1000,35,5.05,17.49383996,168.3955732,31.17
26,1501,122.55,3,1.93E-05,1002,17.5,4.78,22.26648439,182.153346,35.01
27,1501,122.5,6,2.00E-05,1004,0,3.99,22.26646921,216.6621416,21.12
28,1501,122.65,9,2.04E-05,1007,0,2.51,12.31648133,251.4856852,7.05
29,1501,122.8,12,2.08E-05,1010,0,2.41,12.31299976,286.7811606,3.6
30,1501,122.95,15,2.09E-05,1010,0,2.03,6.488930335,305.6061484,1.35
31,1501,123.1,18,2.10E-05,1010,0,1.44,6.486637206,324.4856436,0.27
32,1501,123.2,21,2.10E-05,1011,0,1.19,3.5522773,331.7756792,0.03
33,1501,123.3,24,2.10E-05,1012,0,1.27,3.5522773,339.2438736,0
34,2019,126.5,-24,1.78E-05,915,115,5.18,0,590.887892,19.47
35,2019,125.75,-21,1.76E-05,910,117.5,4.66,27.99824502,513.3332431,35.34
36,2019,125,-18,1.73E-05,905,120,3.49,28.02074245,437.8252197,33.93
37,2019,124.3,-15,1.72E-05,925,110,3.11,25.8435226,369.1037168,40.74
38,2019,123.6,-12,1.70E-05,945,100,3.1,25.85910696,304.415445,27.96
39,2019,122.75,-9,1.71E-05,962.5,80,3.42,30.87850137,217.9331138,31.17
40,2019,121.9,-6,1.72E-05,980,60,3.55,30.86560522,139.7879715,25.89
41,2019,121.6,-3,1.76E-05,988,52.5,3.7,15.48570202,93.33379973,28.53
42,2019,121.3,0,1.80E-05,996,45,6.55,15.47583335,47.09760209,61.59
43,2019,120.4,3,1.81E-05,998,40,6.99,32.55746542,74.48362238,30.03
44,2019,119.5,6,1.82E-05,1000,35,6.29,32.54301625,167.1316755,9.48
45,2019,118.95,9,1.84E-05,1000,35,6.12,20.50984161,225.4933703,14.97
46,2019,118.4,12,1.86E-05,1000,35,3.19,20.49677414,285.0604576,7.8
47,2019,118,15,1.88E-05,1000,35,4.84,15.37620605,329.1155132,2.22
48,2019,117.6,18,1.89E-05,1000,35,3.68,15.36682054,373.5641208,0.33
49,2019,117.2,21,1.89E-05,1000,35,3.19,14.33012289,416.1983545,0.57
50,2019,116.8,24,1.89E-05,1000,35,2.99,14.33012289,458.8990431,1.05
51,1504,126.6,-24,1.85E-05,965,70,1.79,0,598.3115263,0
52,1504,125.85,-21,1.88E-05,972.5,62.5,1.76,28.43370287,518.0416916,0
53,1504,125.1,-18,1.91E-05,980,55,1.41,28.40386188,440.1014368,0.09
54,1504,124.45,-15,1.94E-05,982.5,52.5,1.79,25.01945282,376.2810947,0.24
55,1504,123.8,-12,1.97E-05,985,50,1.88,24.99322524,317.7961022,0.72
56,1504,123.4,-9,1.99E-05,990.5,45,1.58,15.31853536,285.6462203,0.18
57,1504,123,-6,2.00E-05,996,40,2.75,15.30860746,257.8381814,0
58,1504,122.8,-3,2.02E-05,998,37.5,3.11,8.032683878,247.8044752,0
59,1504,122.6,0,2.03E-05,1000,35,3.38,8.029491363,239.8146363,0
60,1504,121.85,3,2.17E-05,1002,17.5,2.47,51.72890867,317.6686328,0.27
61,1504,121.1,6,2.32E-05,1004,0,2.74,51.63825654,439.1383837,0.27
62,1504,120.25,9,2.37E-05,1006,0,3.29,34.14642721,496.1288087,0.93
63,1504,119.4,12,2.43E-05,1008,0,3.2,34.0751893,565.9260975,2.07
64,1504,118.8,15,2.48E-05,1008,0,2.25,25.6369111,628.9023329,1.41
65,1504,118.2,18,2.52E-05,1008,0,1.39,25.59344181,694.4743011,0.09
66,1504,117.8,21,2.52E-05,1008,0,0.69,13.92070915,713.3279503,0
67,1504,117.4,24,2.52E-05,1008,0,1.99,13.92070915,734.0756944,0
68,1625,123.2,-24,1.39E-05,1000,0,2.98,0,467.9462487,1.41
69,1625,122.85,-21,1.41E-05,1000,0,2.2,14.73182923,430.0105997,2.7
70,1625,122.5,-18,1.44E-05,1000,0,2.47,14.72416473,393.4354831,6.48
71,1625,121.9,-15,1.44E-05,1000,0,3.47,21.89903653,366.4736438,8.28
72,1625,121.3,-12,1.45E-05,1000,0,3.79,21.89518532,349.9360177,8.52
73,1625,121,-9,1.46E-05,999,17.5,5.06,11.51478947,337.7556357,5.25
74,1625,120.7,-6,1.47E-05,998,35,6.09,11.51107688,328.7683544,13.47
75,1625,120.3,-3,1.53E-05,996,40,6.16,22.08122433,288.2905554,23.28
76,1625,119.9,0,1.59E-05,994,45,6.72,22.06495468,258.574773,23.49
77,1625,119.3,3,1.62E-05,993,47.5,6.63,24.37433411,270.6174986,11.19
78,1625,118.7,6,1.66E-05,992,50,5.44,24.35093981,300.2999401,12.93
79,1625,118.2,9,1.70E-05,993,47.5,4.9,21.1801774,332.9453692,10.47
80,1625,117.7,12,1.73E-05,994,45,4.76,21.16070095,373.3994373,11.46
81,1625,117.55,15,1.77E-05,994,45,4.98,10.70830638,382.9892783,11.19
82,1625,117.4,18,1.80E-05,994,45,4.29,10.70536455,394.8922387,8.46
83,1625,117.35,21,1.83E-05,994,45,3.07,9.420243963,398.1292438,10.56
84,1625,117.3,24,1.86E-05,994,45,2.92,9.419918613,403.2941594,9.54
85,1220,117.2,-24,1.93E-05,992,45,1.48,0,420.9694171,12.27
86,1220,117.45,-21,1.93E-05,991,47.5,1.34,9.134894572,393.6618694,13.29
87,1220,117.7,-18,1.92E-05,990,50,1.58,9.136989268,366.3414689,12.39
88,1220,117.85,-15,1.92E-05,990,50,2.55,5.368702033,350.5715877,12.84
89,1220,118,-12,1.92E-05,990,50,2.77,5.368702033,334.8337165,16.65
90,1220,118.1,-9,1.91E-05,991,47.5,2.88,4.029527666,323.2347314,21.51
91,1220,118.2,-6,1.91E-05,992,45,1.98,4.030281924,311.6623717,13.86
92,1220,118.25,-3,1.89E-05,992,45,1.95,4.109943099,304.497157,7.83
93,1220,118.3,0,1.88E-05,992,45,3.49,4.110299817,297.659332,9.96
94,1220,118.25,3,1.88E-05,992,45,3.91,2.575628899,302.3842812,9.6
95,1220,118.2,6,1.87E-05,992,45,3.61,2.575917188,307.2356183,3.63
96,1220,118.1,9,1.85E-05,993,42.5,3.57,6.607761423,317.1123198,1.38
97,1220,118,12,1.83E-05,994,40,3.23,6.609078078,327.9179495,1.32
98,1220,117.7,15,1.82E-05,994,40,3.04,11.39448257,360.7150847,1.86
99,1220,117.4,18,1.81E-05,994,40,2.08,11.39906489,393.8005886,1.38
100,1220,117,21,1.81E-05,994,40,2.78,14.49157019,436.4318062,1.56
101,1220,116.6,24,1.82E-05,994,40,2.62,14.48835941,479.1790402,2.04
102,1003,122.95,-24,1.96E-05,1008,0,1.36,0,232.8703387,3.51
103,1003,122.8,-21,1.94E-05,1008,0,0.64,7.717193626,211.0131726,7.2
104,1003,122.6,-18,1.93E-05,1008,0,0.9,8.054501233,186.9321123,7.05
105,1003,122.4,-15,1.92E-05,1008,0,1.39,8.057542056,162.8327204,4.8
106,1003,122.25,-12,1.91E-05,1008,0,1.86,6.521770172,143.5451066,5.01
107,1003,122.1,-9,1.89E-05,1008,0,1.48,6.523855074,124.3121149,6.81
108,1003,121.7,-6,1.90E-05,1007,0,1.26,14.44563365,90.17231758,9.6
109,1003,121.3,-3,1.91E-05,1006,0,1.05,14.44227133,67.60539255,9.54
110,1003,120.6,0,1.89E-05,1006,0,0.62,25.68996244,65.6431823,7.83
111,1003,119.9,3,1.87E-05,1006,0,0.56,25.70711406,126.2823812,6.09
112,1003,119.4,6,1.86E-05,1005,0,1.58,18.31514028,177.7546605,9.6
113,1003,118.9,9,1.85E-05,1004,0,1.38,18.3232127,230.9093492,11.97
114,1003,118.35,12,1.84E-05,1004,0,1.48,19.83149818,290.1133396,9.42
115,1003,117.8,15,1.83E-05,1004,0,2.05,19.83597517,349.4607272,8.97
116,1003,117.4,18,1.86E-05,1003,0,1.41,17.06897241,392.7357958,9.33
117,1003,117,21,1.89E-05,1002,0,1.31,17.0549458,437.5416072,6.96
118,1003,116.8,24,1.94E-05,1001,17.5,3.39,16.43397798,465.0399557,5.22
119,2001,124.4,-24,1.55E-05,975,70,3.36,0,448.2029314,8.61
120,2001,124,-21,1.57E-05,977.5,67.5,3.36,16.26980844,399.759266,7.71
121,2001,123.6,-18,1.60E-05,980,65,2.39,16.25975985,351.5360952,10.41
122,2001,123.15,-15,1.64E-05,980,65,2.74,19.69376008,292.332933,19.32
123,2001,122.7,-12,1.67E-05,980,65,2.79,19.67737974,233.2922982,7.35
124,2001,122.3,-9,1.72E-05,986,57.5,2.83,19.38135159,175.0016224,4.23
125,2001,121.9,-6,1.76E-05,992,50,2.87,19.3653162,116.8560748,5.88
126,2001,121.6,-3,1.81E-05,993,47.5,4,19.83114659,63.70017796,7.59
127,2001,121.3,0,1.87E-05,994,45,5.35,19.81929678,39.62042302,11.4
128,2001,120.95,3,1.95E-05,997,40,5.82,27.10479647,101.0867419,52.23
129,2001,120.6,6,2.03E-05,1000,35,6.91,27.08664533,179.1162346,157.68
130,2001,120.3,9,2.10E-05,1000,35,5.01,22.9691308,246.8391871,79.83
131,2001,120,12,2.16E-05,1000,35,1.5,22.95495411,314.9845756,18.33
132,2001,119.8,15,2.21E-05,1000,35,2.91,16.39966327,363.9421335,14.49
133,2001,119.6,18,2.26E-05,1000,35,1.64,16.39298823,412.8968773,14.58
134,2001,119.55,21,2.31E-05,1001,17.5,2.13,14.90208283,456.1218738,7.44
135,2001,119.5,24,2.36E-05,1002,0,1.59,14.90180292,499.5921667,1.92
136,1108,124.1,-24,1.77E-05,997,17.5,2.55,0,336.5566943,16.92
137,1108,123.9,-21,1.76E-05,996,35,3.9,7.434571197,316.6756186,17.94
138,1108,123.7,-18,1.77E-05,994,37.5,4.57,8.092543088,293.0645504,19.77
139,1108,123.5,-15,1.78E-05,992,40,4.47,8.089731646,269.6112988,18.48
140,1108,123.3,-12,1.80E-05,991,42.5,5.87,8.086901008,246.3563688,18.6
141,1108,123.1,-9,1.81E-05,990,45,6.27,8.084051188,223.3565989,24.33
142,1108,122.9,-6,1.84E-05,990,45,6.21,11.70765807,199.925447,26.64
143,1108,122.7,-3,1.87E-05,990,45,5.14,11.70264839,180.4364357,23.13
144,1108,122.5,0,1.91E-05,990,45,5.82,14.79471197,170.2682524,27.87
145,1108,122.3,3,1.96E-05,990,45,5.36,14.78899988,171.4888043,29.91
146,1108,121.95,6,2.01E-05,990,45,4.82,20.80560353,183.7387436,28.83
147,1108,121.6,9,2.07E-05,990,45,4.55,20.78865758,214.4025444,23.79
148,1108,120.85,12,2.12E-05,990,45,5.78,31.39723966,256.7894137,17.43
149,1108,120.1,15,2.17E-05,990,45,6.22,31.34266574,321.9108046,17.49
150,1108,119.35,18,2.20E-05,990,45,5.62,28.08618076,378.9509041,13.23
151,1108,118.6,21,2.24E-05,990,45,3.8,28.05120654,444.5453714,9.09
152,1108,117.7,24,2.25E-05,990,45,2.93,31.97605584,513.8803548,8.58
153,2015,124.8,-24,1.73E-05,1004,0,1.27,0,416.7296209,31.71
154,2015,124.55,-21,1.73E-05,1005,0,1.59,9.008847794,390.4410016,32.85
155,2015,124.3,-18,1.73E-05,1006,0,1.6,9.008847794,364.2604049,20.67
156,2015,124.1,-15,1.73E-05,1006,0,1.79,7.44208942,345.0317543,13.17
157,2015,123.9,-12,1.72E-05,1006,0,1.1,7.443577184,326.1789891,12.24
158,2015,123.25,-9,1.69E-05,1007,0,1.11,25.21458028,273.1315602,14.01
159,2015,122.6,-6,1.66E-05,1008,0,1.04,25.23712459,232.6159276,16.47
160,2015,121.9,-3,1.64E-05,1007,0,2.14,25.90484812,199.7336856,17.43
161,2015,121.2,0,1.62E-05,1006,0,2.91,25.91975747,194.2203016,19.56
162,2015,120.15,3,1.62E-05,1007,0,3.02,38.03104227,221.4033809,27.06
163,2015,119.1,6,1.61E-05,1008,0,2.37,38.03858048,293.886766,25.41
164,2015,118.55,9,1.60E-05,1007,0,2.97,19.99107497,342.7219014,29.61
165,2015,118,12,1.60E-05,1006,0,2.2,19.99498094,394.6722264,50.34
166,2015,117.4,15,1.60E-05,1006,0,1.61,21.7935346,447.9523096,49.89
167,2015,116.8,18,1.61E-05,1006,0,1.37,21.78925412,504.0482791,34.47
168,2015,116.25,21,1.64E-05,1005,0,1.85,21.21694758,551.0143546,30.39
169,2015,115.7,24,1.66E-05,1004,0,1.7,21.2018285,600.8871531,20.82
170,1306,125.6,-24,1.46E-05,1002,35,0.84,0,600.7591638,0.27
171,1306,125,-21,1.47E-05,1002,35,1.29,22.11284595,540.9921651,0.63
172,1306,124.55,-18,1.55E-05,1002,35,1.74,27.54415829,461.5876904,1.38
173,1306,124.1,-15,1.62E-05,1002,35,1.8,27.521851,383.9508031,2.13
174,1306,123.45,-12,1.67E-05,1002,35,2.23,27.74627366,300.3080631,10.77
175,1306,122.8,-9,1.72E-05,1002,35,2.77,27.7131125,216.8966112,20.49
176,1306,121.95,-6,1.73E-05,1001,35,2.79,30.85261649,135.5089053,22.2
177,1306,121.1,-3,1.75E-05,1000,35,2.44,30.83953521,82.73964452,22.74
178,1306,120.4,0,1.79E-05,1000,35,3.86,28.30911554,82.04407554,35.43
179,1306,119.7,3,1.83E-05,1000,35,4.47,28.27402921,144.8307753,47.97
180,1306,119.15,6,1.88E-05,998,37.5,3.74,23.58825416,206.4889006,59.4
181,1306,118.6,9,1.92E-05,996,40,6.04,23.56114297,272.3131821,38.91
182,1306,117.9,12,1.99E-05,995,40,5.5,32.2223449,362.2937011,9.54
183,1306,117.2,15,2.05E-05,994,40,4.2,32.16889688,454.3993986,7.11
184,1306,116.4,18,2.12E-05,992,42.5,2.93,34.93239146,556.7982711,10.11
185,1306,115.6,21,2.19E-05,990,45,1.85,34.86405072,659.1730504,7.92
186,1306,114.75,24,2.24E-05,990,45,1.76,33.46333091,758.3511059,3
187,2021,127.8,-24,1.42E-05,1008,0,2.09,0,825.5873123,0.12
188,2021,126.85,-21,1.48E-05,1007,0,2.09,38.31636969,709.6059258,0.42
189,2021,125.9,-18,1.54E-05,1006,0,2.08,38.26471387,593.9021514,0.3
190,2021,124.8,-15,1.59E-05,1005,0,2.76,42.49301852,466.8526009,1.5
191,2021,123.7,-12,1.64E-05,1004,0,3.64,42.43389516,340.9926994,2.61
192,2021,123.15,-9,1.64E-05,1004,0,3.59,19.8855029,292.332933,8.82
193,2021,122.6,-6,1.64E-05,1004,0,2.74,19.8855029,248.5133084,20.25
194,2021,122.05,-3,1.62E-05,1005,0,2.63,20.2344285,222.1645967,10.08
195,2021,121.5,0,1.61E-05,1006,0,3.3,20.24221514,210.4855287,24.93
196,2021,120.75,3,1.60E-05,1005,0,3.51,27.20658351,212.528233,28.56
197,2021,120,6,1.60E-05,1004,0,4.09,27.21192053,243.6390543,13.29
198,2021,119.1,9,1.60E-05,1003,0,4.25,32.57880261,301.7740984,7.44
199,2021,118.2,12,1.60E-05,1002,0,5.16,32.57880261,376.669663,11.22
200,2021,116.8,15,1.61E-05,1000,17.5,4.85,50.79298292,504.0482791,15.93
201,2021,115.4,18,1.62E-05,998,35,4.73,50.7728726,642.2339901,24.81
202,2021,114.2,21,1.62E-05,997,37.5,4.28,43.45200176,768.960444,9.06
203,2021,113,24,1.61E-05,996,40,2.58,43.46061927,896.8134856,24.66
204,1724,126.35,-24,1.47E-05,1005,0,4.13,0,664.2714477,0.06
205,1724,125.6,-21,1.52E-05,1004,0,2.4,30.97358519,570.6269426,0.42
206,1724,124.95,-18,1.56E-05,1005,0,2.45,26.03922536,492.293457,0.69
207,1724,124.3,-15,1.60E-05,1006,0,2.37,26.01443846,414.1999509,1.74
208,1724,123.55,-12,1.64E-05,1005,0,2.61,29.29918779,327.3612029,3.6
209,1724,122.8,-9,1.67E-05,1004,0,2.64,29.26854214,241.7237978,6.57
210,1724,122.15,-6,1.70E-05,1004,0,4.61,25.20544721,170.4718912,12.87
211,1724,121.5,-3,1.73E-05,1004,0,5.04,25.18232647,105.8138908,21.06
212,1724,120.9,0,1.77E-05,1004,0,4.41,24.27762926,62.28564818,44.79
213,1724,120.3,3,1.81E-05,1004,0,3.6,24.25215356,84.62120891,52.92
214,1724,119.75,6,1.85E-05,1003,17.5,2.35,22.64583038,139.4406533,48.84
215,1724,119.2,9,1.88E-05,1002,35,2.73,22.62200862,202.1530095,33.15
216,1724,118.85,12,1.94E-05,1002,35,4.28,20.82752501,251.8143774,50.67
217,1724,118.5,15,1.99E-05,1002,35,3.29,20.81115625,305.9473662,65.97
218,1724,118.05,18,2.05E-05,1002,35,3.6,24.4682718,374.4330772,13.26
219,1724,117.6,21,2.11E-05,1002,35,3.55,24.44118485,444.1218517,2.76
220,1724,117.3,24,2.13E-05,1001,35,2.14,12.00239104,479.6530046,1.44
221,2002,125.05,-24,1.67E-05,1006,0,3.68,0,458.9120786,10.26
222,2002,124.7,-21,1.72E-05,1006,0,2.35,19.44527929,409.0656206,4.02
223,2002,124.3,-18,1.76E-05,1006,0,2.14,18.18099327,358.8999418,7.62
224,2002,123.9,-15,1.80E-05,1006,0,1.9,18.16600441,310.4603334,13.98
225,2002,123.4,-12,1.82E-05,1005,0,1.75,19.42610955,254.4466539,11.79
226,2002,122.9,-9,1.85E-05,1004,0,1.76,19.41103207,199.9764662,5.64
227,2002,122.35,-6,1.87E-05,1004,0,2.45,21.06425236,143.3787189,2.16
228,2002,121.8,-3,1.89E-05,1004,0,2.16,21.04700514,95.77191157,0.39
229,2002,121.15,0,1.94E-05,1003,0,2.13,26.60963624,90.21236955,2.55
230,2002,120.5,3,1.98E-05,1002,0,0.69,26.57504098,140.9265447,9.33
231,2002,119.95,6,2.00E-05,1002,0,1.19,20.39229786,186.3386392,16.08
232,2002,119.4,9,2.02E-05,1002,0,3.14,20.37811226,238.8048073,23.19
233,2002,118.85,12,2.03E-05,1001,0,4.08,20.36379822,294.5256435,38.7
234,2002,118.3,15,2.05E-05,1000,0,5.55,20.34935585,351.9126987,32.58
235,2002,117.95,18,2.08E-05,999,17.5,4.79,14.478948,395.0475454,18.27
236,2002,117.6,21,2.10E-05,998,35,3.95,14.4677759,438.122491,3.87
237,2002,117.15,24,2.14E-05,998,35,2.41,20.54787755,498.9086882,4.14
238,1223,125.6,-24,1.31E-05,997,35,2.86,0,685.9925665,1.95
239,1223,124.9,-21,1.36E-05,996,35,3.37,29.49352041,599.7500692,1.59
240,1223,124.4,-18,1.40E-05,997,35,5.06,21.32102154,537.6095088,3.18
241,1223,123.9,-15,1.44E-05,998,35,5.43,21.30487964,476.1166289,5.25
242,1223,123.1,-12,1.47E-05,997,37.5,5.17,30.50870585,400.7508481,3.96
243,1223,122.3,-9,1.50E-05,996,40,4.87,30.48353444,333.7779478,2.37
244,1223,121.6,-6,1.56E-05,997,40,4.54,30.34555812,261.5962494,8.73
245,1223,120.9,-3,1.61E-05,998,40,4.76,30.30853301,205.1682033,19.77
246,1223,120.25,0,1.69E-05,998,40,5.47,32.29604578,162.5748698,21.06
247,1223,119.6,3,1.76E-05,998,40,6.17,32.25286202,171.5149634,53.46
248,1223,118.6,6,1.78E-05,998,40,7.15,36.72554721,268.2745013,98.07
249,1223,117.6,9,1.81E-05,998,40,7.58,36.69421917,372.2899608,102.06
250,1223,117.2,12,1.81E-05,997,40,7.14,14.37629124,415.3167974,47.28
251,1223,116.8,15,1.81E-05,996,40,6.17,14.37629124,458.3628136,19.92
252,1223,116.2,18,1.82E-05,993,42.5,5.58,21.86982763,522.2666444,21.18
253,1223,115.6,21,1.83E-05,990,45,5.16,21.86020808,586.441954,21.24
254,1223,115.2,24,1.85E-05,985,50,4.25,15.38857894,629.191304,28.62
255,1002,126.5,-24,1.80E-05,975,65,0.55,0,589.8066677,2.76
256,1002,125.65,-21,1.80E-05,975,65,1,30.56326237,498.3439275,3.9
257,1002,124.8,-18,1.80E-05,975,65,1.32,30.56326237,406.9833768,4.41
258,1002,124.15,-15,1.80E-05,975,65,1.37,23.43977846,336.5835434,3.39
259,1002,123.5,-12,1.81E-05,975,65,1.5,23.43456943,266.219619,2.76
260,1002,122.9,-9,1.81E-05,975,65,1.53,21.63878089,201.2553598,26.91
261,1002,122.3,-6,1.82E-05,975,65,0.85,21.63394249,136.3306151,60.6
262,1002,121.6,-3,1.81E-05,977.5,62.5,0.14,25.42898061,65.79144792,49.89
263,1002,120.9,0,1.80E-05,980,60,1.45,25.44009545,41.15942471,31.62
264,1002,120.25,3,1.82E-05,982.5,57.5,2.39,24.49485337,87.01161744,35.25
265,1002,119.6,6,1.85E-05,985,55,1.81,24.47463588,155.5774278,41.91
266,1002,118.95,9,1.88E-05,987.5,52.5,1.13,25.80531368,228.5756236,42.24
267,1002,118.3,12,1.92E-05,990,50,2.36,25.7755628,303.4739146,29.79
268,1002,118,15,1.96E-05,991,47.5,3.94,16.8084752,344.8481078,15.9
269,1002,117.7,18,2.00E-05,992,45,4.2,16.79676302,388.1736915,6.66
270,1002,116.9,21,2.01E-05,992,45,3.83,28.58798668,469.9674234,11.49
271,1002,116.1,24,2.02E-05,992,45,2.67,28.58082886,552.8963596,14.88
272,1311,126.45,-24,1.80E-05,952.5,82.5,1.66,0,583.9590477,2.22
